
1.e4d5 (925 1005 10 1000 407 -16000) ,2.e6d5 (-1005 -925 9 2147483647 -718 -16000) ,3.a3e7 (925 1005 8 2147483647 614 -16000) ,4.f6f5 (-1005 -925 8 2147483647 -717 -16000) ,5.e7h4 (925 1005 7 2147483647 718 -16000) ,6.e5e4 (-1005 -925 6 2147483647 -706 -16000) ,7.d3e4 (925 1005 5 2147483647 702 -16000) ,8.f5e4 (-1005 -925 4 2147483647 -809 -16000) ,9.g7g4 (925 1005 4 2147483647 716 -16000) ,10.e4d3 (-1005 -925 4 2147483647 -789 -16000) ,11.h4g3 (925 1005 3 2147483647 800 -16000) ,12.d5d4 (-1005 -925 2 2147483647 -974 -16000) 
,,,,,,,,,,,12.d3d2 (-987 -925 2 2147483597 -974 -987) 
,,,,,,,,,,,12.d3e2 (-982 -925 2 0 -974 -982) 
,,,,,,,,,,11.g4g3 (982 1005 3 2147483592 800 982) ,12.d3d2 (-983 -982 3 2147483647 -964 -16000) 
,,,,,,,,,,11.h4f6 (982 1005 3 0 800 982) ,12.d3d2 (-983 -982 2 2147483597 -824 -16000) 
,,,,,,,,,,11.h4e7 (982 1005 3 0 800 982) ,12.d3d2 (-983 -982 2 2147483597 -812 -16000) 
,,,,,,,,,,11.h4d8 (982 1005 3 0 800 982) ,12.d3d2 (-983 -982 2 2147483597 -797 -16000) 
,,,,,,,,,,11.h4g5 (982 1005 3 0 800 982) ,12.d3e2 (-983 -982 2 1 -805 -16000) 
,,,,,,,,,,11.g4a4 (982 1005 3 0 800 982) ,12.d3d2 (-983 -982 2 2147483597 -813 -16000) 
,,,,,,,,,,11.g4b4 (982 1005 3 0 800 982) ,12.d3d2 (-983 -982 2 2147483597 -816 -16000) 
,,,,,,,,,,11.g4c4 (982 1005 3 0 800 982) ,12.d3c4 (-983 -982 2 2147483627 -820 -16000) 
,,,,,,,,,,11.g4d4 (982 1005 3 0 800 982) ,12.d3d4 (-983 -982 2 2147483647 -804 -16000) 
,,,,,,,,,,11.g4e4 (982 1005 3 0 800 982) ,12.d3e4 (-983 -982 2 2147483627 -813 -16000) 
,,,,,,,,,,11.g4f4 (982 1005 3 0 800 982) ,12.d3d2 (-983 -982 2 2147483597 -810 -16000) 
,,,,,,,,,,11.g4g5 (982 1005 3 0 800 982) ,12.d3d2 (-983 -982 2 2147483597 -797 -16000) 
,,,,,,,,,,11.g4g6 (982 1005 3 0 800 982) ,12.h7g6 (-983 -982 2 2147483625 -813 -16000) 
,,,,,,,,,,11.g4g7 (982 1005 3 0 800 982) ,12.d3d2 (-983 -982 2 2147483597 -820 -16000) 
,,,,,,,,,,11.g4g8 (982 1005 3 0 800 982) ,12.d3d2 (-983 -982 2 2147483597 -821 -16000) 
,,,,,,,,,,11.b1a1 (982 1005 3 0 800 982) 
,,,,,,,,,,11.b1c1 (982 1005 3 0 800 982) ,12.Null (-983 -982 2 -999 -806 -16000) 
,,,,,,,,,,,12.d3e2 (-983 -982 2 2147483542 -806 -16000) 
,,,,,,,,,,11.b1a2 (982 1005 3 0 800 982) ,12.d3d2 (-983 -982 2 2147483597 -800 -16000) 
,,,,,,,,,,11.b1b2 (982 1005 3 0 800 982) ,12.Null (-983 -982 2 -999 -814 -16000) 
,,,,,,,,,10.e4f5 (-982 -925 4 210 -789 -982) ,11.g4g3 (981 982 3 2147483647 798 -16000) ,12.f5e6 (-982 -981 2 2147483647 -962 -16000) 
,,,,,,,,,,,12.f5f4 (-982 -981 2 2147483541 -962 -989) 
,,,,,,,,,,11.h4g3 (981 982 3 2147483594 798 979) 
,,,,,,,,,,11.b1c2 (981 982 3 4 798 979) 
,,,,,,,,,,11.h4g5 (981 982 3 0 798 979) 
,,,,,,,,,,11.h4f6 (981 982 3 0 798 979) 
,,,,,,,,,,11.h4e7 (981 982 3 0 798 979) 
,,,,,,,,,,11.h4d8 (981 982 3 0 798 979) 
,,,,,,,,,,11.d2d3 (981 982 3 0 798 979) 
,,,,,,,,,,11.g4a4 (981 982 3 0 798 979) 
,,,,,,,,,,11.g4b4 (981 982 3 0 798 979) 
,,,,,,,,,,11.g4c4 (981 982 3 0 798 979) 
,,,,,,,,,,11.g4d4 (981 982 3 0 798 979) 
,,,,,,,,,,11.g4e4 (981 982 3 0 798 979) 
,,,,,,,,,,11.g4f4 (981 982 3 0 798 979) ,12.f5f4 (-982 -981 2 2147483627 -805 -16000) 
,,,,,,,,,,11.g4g5 (981 982 3 0 798 979) ,12.f5f4 (-982 -981 2 2147483542 -793 -16000) 
,,,,,,,,,,11.g4g6 (981 982 3 0 798 979) 
,,,,,,,,,,11.g4g7 (981 982 3 0 798 979) 
,,,,,,,,,,11.g4g8 (981 982 3 0 798 979) 
,,,,,,,,,,11.b1a1 (981 982 3 0 798 979) 
,,,,,,,,,,11.b1c1 (981 982 3 0 798 979) 
,,,,,,,,,,11.b1a2 (981 982 3 0 798 979) 
,,,,,,,,,,11.b1b2 (981 982 3 0 798 979) 
,,,,,,,,,,11.d2d4 (981 982 3 0 798 979) 
,,,,,,,,,,11.g4g3 (925 982 3 2147483647 798 -16000) ,12.f5f4 (-982 -925 2 2147483647 -962 -16000) 
,,,,,,,,,,,12.f5e6 (-979 -925 2 2147483543 -962 -979) 
,,,,,,,,,,,12.d5d4 (-979 -925 2 0 -962 -979) 
,,,,,,,,,,,12.f5e5 (-979 -925 2 0 -962 -979) 
,,,,,,,,,,,12.f5e4 (-979 -925 2 0 -962 -979) 
