
1.e4d5 (972 1052 14 1000 407 -16000) ,2.e6d5 (-1052 -972 13 2147483647 -718 -16000) ,3.a3e7 (972 1052 12 2147483647 614 -16000) ,4.f6f5 (-1052 -972 12 2147483647 -717 -16000) ,5.e7h4 (972 1052 11 2147483647 718 -16000) ,6.e5e4 (-1052 -972 10 2147483647 -706 -16000) ,7.d3e4 (972 1052 9 2147483647 702 -16000) ,8.f5e4 (-1052 -972 8 2147483647 -809 -16000) ,9.b1c2 (972 1052 8 2147483647 716 -16000) ,10.e4f4 (-1052 -972 7 2147483647 -740 -16000) ,11.c2d3 (972 1052 6 2147483647 737 -16000) ,12.f4f5 (-1052 -972 5 2147483647 -747 -16000) 
,,,,,,,,,,,12.f4e5 (-1019 -972 5 0 -747 -1019) 
,,,,,,,,,,,12.d5d4 (-1019 -972 5 0 -747 -1019) 
,,,,,,,,,,11.h4g3 (1019 1052 6 2147483594 737 1019) ,12.f4g3 (-1020 -1019 5 2147483647 -891 -16000) 
,,,,,,,,,,11.g7g4 (1019 1052 6 2147483592 737 1019) ,12.f4g4 (-1020 -1019 5 2147483647 -811 -16000) 
,,,,,,,,,,11.g7h7 (1019 1052 6 2147483592 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -827 -16000) 
,,,,,,,,,,11.g7f7 (1019 1052 6 183 737 1019) ,12.f4e4 (-1020 -1019 6 2147483647 -748 -16000) 
,,,,,,,,,,11.g7e7 (1019 1052 6 37 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -741 -16000) 
,,,,,,,,,,11.h4d8 (1019 1052 6 0 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -735 -16000) 
,,,,,,,,,,11.d2d4 (1019 1052 6 0 737 1019) ,12.f4e4 (-1020 -1019 5 2147483647 -724 -16000) 
,,,,,,,,,,11.g7g5 (1019 1052 6 0 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -712 -16000) 
,,,,,,,,,,11.g7g6 (1019 1052 6 0 737 1019) 
,,,,,,,,,,11.g7a7 (1019 1052 6 0 737 1019) ,12.f4e4 (-1020 -1019 5 2147483647 -749 -16000) 
,,,,,,,,,,11.g7b7 (1019 1052 6 0 737 1019) ,12.f4e4 (-1020 -1019 5 2147483647 -751 -16000) 
,,,,,,,,,,11.g7c7 (1019 1052 6 0 737 1019) ,12.f4e4 (-1020 -1019 5 2147483647 -754 -16000) 
,,,,,,,,,,11.g7d7 (1019 1052 6 0 737 1019) ,12.f4e4 (-1020 -1019 5 2147483647 -742 -16000) 
,,,,,,,,,,11.h4e7 (1019 1052 6 0 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -745 -16000) 
,,,,,,,,,,11.h4f6 (1019 1052 6 0 737 1019) ,12.f4e4 (-1020 -1019 5 2147483647 -758 -16000) 
,,,,,,,,,,11.h4g5 (1019 1052 6 0 737 1019) ,12.f4e4 (-1020 -1019 6 2147483647 -744 -16000) 
,,,,,,,,,,11.g7g8 (1019 1052 6 0 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -736 -16000) 
,,,,,,,,,,11.c2b1 (1019 1052 6 0 737 1019) 
,,,,,,,,,,11.c2c1 (1019 1052 6 0 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -717 -16000) 
,,,,,,,,,,11.c2d1 (1019 1052 6 0 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -716 -16000) 
